Activity,Task,Subtask,Condition,Type of Subtask,Interaction,Persona,Technique
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Approve requirements and designs,Sponsor,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Approve requirements and designs,Sponsor,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Identify and manage risks,Manager,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Identify and manage risks,Manager,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Oversee review activities,Manager,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Oversee review activities,Manager,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Review requirements,Domain SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Review requirements,Domain SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Approve designs,Domain SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Approve designs,Domain SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,No specific interaction provided for this task,Implementation SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,No specific interaction provided for this task,Implementation SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Ensure quality assurance feasibility,Tester,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Ensure quality assurance feasibility,Tester,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Validate testable requirements,Tester,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Validate testable requirements,Tester,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Review and validate requirements,End User,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Review and validate requirements,End User,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Prioritize requirements,End User,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Prioritize requirements,End User,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Review and approve requirements,Customer,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Review and approve requirements,Customer,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Ensure needs are met,Customer,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Ensure needs are met,Customer,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Ensure supportability of requirements,Operational Support,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Ensure supportability of requirements,Operational Support,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Review and approve within constraints,Operational Support,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Review and approve within constraints,Operational Support,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Provide input on regulation compliance,Regulator,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Provide input on regulation compliance,Regulator,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Audit requirements relationship to regulations,Regulator,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Resolve conflict,Conflicting requirements exist,Align priorities,Audit requirements relationship to regulations,Regulator,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Review and approve business case,Sponsor,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Review and approve business case,Sponsor,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Approve solution scope,Sponsor,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Approve solution scope,Sponsor,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Approve requirements and designs,Sponsor,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Approve requirements and designs,Sponsor,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Identify and manage risks,Manager,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Identify and manage risks,Manager,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Oversee review activities,Manager,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Oversee review activities,Manager,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Review requirements,Domain SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Review requirements,Domain SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Approve designs,Domain SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Approve designs,Domain SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,No specific interaction provided for this task,Implementation SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,No specific interaction provided for this task,Implementation SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Ensure quality assurance feasibility,Tester,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Ensure quality assurance feasibility,Tester,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Validate testable requirements,Tester,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Validate testable requirements,Tester,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Review and validate requirements,End User,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Review and validate requirements,End User,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Prioritize requirements,End User,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Prioritize requirements,End User,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Review and approve requirements,Customer,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Review and approve requirements,Customer,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Ensure needs are met,Customer,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Ensure needs are met,Customer,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Ensure supportability of requirements,Operational Support,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Ensure supportability of requirements,Operational Support,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Review and approve within constraints,Operational Support,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Review and approve within constraints,Operational Support,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Provide input on regulation compliance,Regulator,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Provide input on regulation compliance,Regulator,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Audit requirements relationship to regulations,Regulator,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Documentation of changes required,Update approval log,Audit requirements relationship to regulations,Regulator,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Review and approve business case,Sponsor,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Review and approve business case,Sponsor,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Approve solution scope,Sponsor,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Approve solution scope,Sponsor,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Approve requirements and designs,Sponsor,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Approve requirements and designs,Sponsor,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Identify and manage risks,Manager,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Identify and manage risks,Manager,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Oversee review activities,Manager,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Oversee review activities,Manager,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Review requirements,Domain SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Review requirements,Domain SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Approve designs,Domain SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Approve designs,Domain SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,No specific interaction provided for this task,Implementation SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,No specific interaction provided for this task,Implementation SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Ensure quality assurance feasibility,Tester,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Ensure quality assurance feasibility,Tester,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Validate testable requirements,Tester,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Validate testable requirements,Tester,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Review and validate requirements,End User,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Review and validate requirements,End User,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Prioritize requirements,End User,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Prioritize requirements,End User,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Review and approve requirements,Customer,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Review and approve requirements,Customer,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Ensure needs are met,Customer,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Ensure needs are met,Customer,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Ensure supportability of requirements,Operational Support,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Ensure supportability of requirements,Operational Support,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Review and approve within constraints,Operational Support,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Review and approve within constraints,Operational Support,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Provide input on regulation compliance,Regulator,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Provide input on regulation compliance,Regulator,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Audit requirements relationship to regulations,Regulator,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Track approvals,Approval stages completed,Notify stakeholders,Audit requirements relationship to regulations,Regulator,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Review and approve business case,Sponsor,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Review and approve business case,Sponsor,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Approve solution scope,Sponsor,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Approve solution scope,Sponsor,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Approve requirements and designs,Sponsor,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Approve requirements and designs,Sponsor,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Identify and manage risks,Manager,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Identify and manage risks,Manager,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Oversee review activities,Manager,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Oversee review activities,Manager,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Review requirements,Domain SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Review requirements,Domain SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Approve designs,Domain SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Approve designs,Domain SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,No specific interaction provided for this task,Implementation SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,No specific interaction provided for this task,Implementation SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Ensure quality assurance feasibility,Tester,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Ensure quality assurance feasibility,Tester,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Validate testable requirements,Tester,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Validate testable requirements,Tester,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Review and validate requirements,End User,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Review and validate requirements,End User,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Prioritize requirements,End User,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Prioritize requirements,End User,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Review and approve requirements,Customer,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Review and approve requirements,Customer,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Ensure needs are met,Customer,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Ensure needs are met,Customer,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Ensure supportability of requirements,Operational Support,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Ensure supportability of requirements,Operational Support,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Review and approve within constraints,Operational Support,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Review and approve within constraints,Operational Support,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Provide input on regulation compliance,Regulator,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Provide input on regulation compliance,Regulator,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Audit requirements relationship to regulations,Regulator,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Key stakeholders need awareness,Distribute summaries,Audit requirements relationship to regulations,Regulator,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Review and approve business case,Sponsor,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Review and approve business case,Sponsor,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Approve solution scope,Sponsor,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Approve solution scope,Sponsor,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Approve requirements and designs,Sponsor,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Approve requirements and designs,Sponsor,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Identify and manage risks,Manager,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Identify and manage risks,Manager,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Oversee review activities,Manager,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Oversee review activities,Manager,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Review requirements,Domain SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Review requirements,Domain SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Approve designs,Domain SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Approve designs,Domain SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,No specific interaction provided for this task,Implementation SME,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,No specific interaction provided for this task,Implementation SME,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Ensure quality assurance feasibility,Tester,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Ensure quality assurance feasibility,Tester,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Validate testable requirements,Tester,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Validate testable requirements,Tester,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Review and validate requirements,End User,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Review and validate requirements,End User,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Prioritize requirements,End User,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Prioritize requirements,End User,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Review and approve requirements,Customer,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Review and approve requirements,Customer,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Ensure needs are met,Customer,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Ensure needs are met,Customer,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Ensure supportability of requirements,Operational Support,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Ensure supportability of requirements,Operational Support,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Review and approve within constraints,Operational Support,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Review and approve within constraints,Operational Support,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Provide input on regulation compliance,Regulator,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Provide input on regulation compliance,Regulator,Risk Analysis and Management
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Audit requirements relationship to regulations,Regulator,Decision Analysis
Manage Requirements Life Cycle,Approve Requirements,Share approvals,Long-term reference required,Archive decisions,Audit requirements relationship to regulations,Regulator,Risk Analysis and Management
Strategy Analysis,Analyse Current State,Identify need type,Strategic initiatives,Specify top-down goals,Provide input on organizational goals,Sponsor,
Strategy Analysis,Analyse Current State,Identify need type,Strategic initiatives,Specify top-down goals,Approve current state assessments,Sponsor,
Strategy Analysis,Analyse Current State,Identify need type,Strategic initiatives,Specify top-down goals,Oversee analysis processes,Manager,
Strategy Analysis,Analyse Current State,Identify need type,Strategic initiatives,Specify top-down goals,Ensure resource allocation,Manager,
Strategy Analysis,Analyse Current State,Identify need type,Strategic initiatives,Specify top-down goals,Provide insights on current processes,Domain SME,
Strategy Analysis,Analyse Current State,Identify need type,Strategic initiatives,Specify top-down goals,Validate analysis findings,Domain SME,
Strategy Analysis,Analyse Current State,Identify need type,Strategic initiatives,Specify top-down goals,Review current technical capabilities,Implementation SME,
Strategy Analysis,Analyse Current State,Identify need type,Strategic initiatives,Specify top-down goals,Identify system limitations,Implementation SME,
Strategy Analysis,Analyse Current State,Identify need type,Strategic initiatives,Specify top-down goals,No specific interaction provided for this task,Tester,
Strategy Analysis,Analyse Current State,Identify need type,Strategic initiatives,Specify top-down goals,Share feedback on current operations,End User,
Strategy Analysis,Analyse Current State,Identify need type,Strategic initiatives,Specify top-down goals,Provide input on existing value,Customer,
Strategy Analysis,Analyse Current State,Identify need type,Strategic initiatives,Specify top-down goals,Offer information on support structures,Operational Support,
Strategy Analysis,Analyse Current State,Identify need type,Strategic initiatives,Specify top-down goals,Confirm compliance of current state,Regulator,
Strategy Analysis,Analyse Current State,Identify need type,Operational challenges,Specify bottom-up problems,Provide input on organizational goals,Sponsor,
Strategy Analysis,Analyse Current State,Identify need type,Operational challenges,Specify bottom-up problems,Approve current state assessments,Sponsor,
Strategy Analysis,Analyse Current State,Identify need type,Operational challenges,Specify bottom-up problems,Oversee analysis processes,Manager,
Strategy Analysis,Analyse Current State,Identify need type,Operational challenges,Specify bottom-up problems,Ensure resource allocation,Manager,
Strategy Analysis,Analyse Current State,Identify need type,Operational challenges,Specify bottom-up problems,Provide insights on current processes,Domain SME,
Strategy Analysis,Analyse Current State,Identify need type,Operational challenges,Specify bottom-up problems,Validate analysis findings,Domain SME,
Strategy Analysis,Analyse Current State,Identify need type,Operational challenges,Specify bottom-up problems,Review current technical capabilities,Implementation SME,
Strategy Analysis,Analyse Current State,Identify need type,Operational challenges,Specify bottom-up problems,Identify system limitations,Implementation SME,
Strategy Analysis,Analyse Current State,Identify need type,Operational challenges,Specify bottom-up problems,No specific interaction provided for this task,Tester,
Strategy Analysis,Analyse Current State,Identify need type,Operational challenges,Specify bottom-up problems,Share feedback on current operations,End User,
Strategy Analysis,Analyse Current State,Identify need type,Operational challenges,Specify bottom-up problems,Provide input on existing value,Customer,
Strategy Analysis,Analyse Current State,Identify need type,Operational challenges,Specify bottom-up problems,Offer information on support structures,Operational Support,
Strategy Analysis,Analyse Current State,Identify need type,Operational challenges,Specify bottom-up problems,Confirm compliance of current state,Regulator,
Strategy Analysis,Analyse Current State,Identify need type,Industry or market triggers,Specify external drivers,Provide input on organizational goals,Sponsor,
Strategy Analysis,Analyse Current State,Identify need type,Industry or market triggers,Specify external drivers,Approve current state assessments,Sponsor,
Strategy Analysis,Analyse Current State,Identify need type,Industry or market triggers,Specify external drivers,Oversee analysis processes,Manager,
Strategy Analysis,Analyse Current State,Identify need type,Industry or market triggers,Specify external drivers,Ensure resource allocation,Manager,
Strategy Analysis,Analyse Current State,Identify need type,Industry or market triggers,Specify external drivers,Provide insights on current processes,Domain SME,
